Serial No,Crime_Type,Year_of_Crime,Gender,Area_Name,Detailed_Area,Latitude,Longitude,Location,Time,link
25,"Hijack, Robbery, Assault",2025,"Male, Female",Savar,"Police Town, Dhaka-Aricha highway",23.81667414,90.25779849,"23.81667414195253, 90.25779849201362",Noon,https://www.dhakatribune.com/bangladesh/nation/373697/3-stabbed-in-daylight-bus-robbery-on-dhaka-aricha
26,Assault,2025,"Male, Female",Uttara,"Road 9, Sector 7, Uttara ",23.8704789,90.39868576,"(23.870478901573208, 90.39868575501161)",Night,https://www.tbsnews.net/bangladesh/2-held-after-video-couple-attacked-sharp-weapons-uttara-goes-viral-1071361
27,Hijack,2025,Male,Ashulia,"Kabirpur area, Ashulia, Nabinagar-Chandra highway",24.00904576,90.24842461,"(24.00904575559328, 90.24842460854143)",Night,https://en.prothomalo.com/bangladesh/crime-and-law/sf2vha68d4
28,Mugging,2025,Male,Mohammadpur,"Nurjahan Road, near Dhaka State College",23.75819457,90.3611336,"(23.758194572876132, 90.36113359563497)",Afternoon,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
29,Mugging,2025,Male,Mohammadpur,Next to Mohammadpur Police Station,23.75564465,90.36357372,"(23.755644647796764, 90.36357371653813)",Evening,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
30,Mugging,2025,Male,Mohammadpur,"near Tin Rastar Mor, Beribandh, Mohammadpur",23.75685837,90.35621936,"(23.75685837066954, 90.35621935649579)",Evening,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810867
31,Mugging,2025,Male,Mohammadpur,40 feet,23.75273856,90.34703111,"(23.752738560657527, 90.34703111349411)",Afternoon,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810868
32,Murder,2024,Male,Mohammadpur,Geneva Camp,23.7694861,90.36458997,"(23.769486098696124, 90.36458997456886)",Night,https://bdnews24.com/bangladesh/5d82ff9748c6
33,Mugging,2024,Female,Mohammadpur,"Road no. 4A, Block B, Nobodoy Housing",23.76406964,90.34925468,"(23.764069640287975, 90.34925468452592)",Morning,https://www.tbsnews.net/bangladesh/mugging-murders-and-teen-gangs-unnerve-mohammadpur-982921
34,Murder,2024,Male,Mohammadpur,Geneva Camp,23.76947137,90.36457925,"(23.769471370560566, 90.36457924573354)",Afternoon,https://www.thedailystar.net/news/bangladesh/crime-justice/news/clashes-geneva-camp-bullet-hit-teenager-dies-dmch-3738546
35,Robbery,2024,Male,Mohammadpur,Mohammadia Housing Area,23.92799761,90.39889667,"(23.927997613807225, 90.39889666680514)",Morning,https://www.prothomalo.com/bangladesh/capital/ur1vi20bx1
36,Assault,2025,Male,Hatirjheel,"Ulan area, Hatirjheel",23.76824386,90.41922781,"(23.768243855811413, 90.41922781097644)",Night,https://www.tbsnews.net/bangladesh/pedestrian-shot-amid-clash-between-teenage-gangs-hatirjheel-1058356
37,Murder,2025,Male,Hatirjheel,Near Police Plaza,23.77321877,90.41602072,"(23.773218766788073, 90.41602072447073)",Night,https://en.prothomalo.com/bangladesh/crime-and-law/yivjif4yo4
38,Mugging,2024,Male,Dhanmondi,Abahani Club Field Sidewalk,23.74810363,90.37101398,"(23.748103634520547, 90.37101397503078)",Morning,https://www.dhakatribune.com/bangladesh/dhaka/347030/four-arrested-over-daylight-robbery-in-dhanmondi
39,Mugging,2025,Male,Mohammadpur,Turag River Sidewalk,23.76535902,90.34012352,"(23.76535901741919, 90.34012352447047)",Evening,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
40,Robbery,2025,Male,Tejgaon,Rokeya Sarani,23.76134506,90.38920291,"(23.761345057716635, 90.3892029062385)",Noon,https://www.tbsnews.net/bangladesh/crime/masked-group-attempt-robbery-extortion-car-showroom-dhaka-1081841
41,Mugging,2025,Male,Mirpur,Mirpur- 10,23.81027564,90.3694475,"23.810275638696677, 90.36944749732038",Daylight,
42,Murder,2025,Male,Badda,"Road no-4, Gudaraghat, Badda",23.780374,90.42132,"(23.780374, 90.421320)",Night,https://www.tbsnews.net/bangladesh/bnp-leader-shot-dead-badda-1151716
43,Mugging,2025,Male,Banasree,"Road no 7, D-block, Banasree",23.76061762,90.4317539,"(23.760617622080883, 90.43175389646409)",Night,https://www.dhakatribune.com/bangladesh/dhaka/374679/businessman-shot-gold-looted-in-banasree-case
44,Murder,2024,Male,Gulshan,"Mysha Chowdhury Tower, Gulshan",23.79374364,90.42457697,"(23.793743640278848, 90.42457696822335)",Evening,https://www.tbsnews.net/bangladesh/crime/atm-booth-security-guard-hacked-death-robbers-gulshan-826691
45,Murder,2024,Male,Jatrabari,"Mayor Hanif Flyover, Jatrabari",23.72316502,90.41225444,"(23.723165015643644, 90.41225443911868)",Night,"https://en.prothomalo.com/bangladesh/crime-and-law/bq21fflnjq#:~:text=Mugging%20on%20streets%2C%20theft%20at%20home%20leave%20Dhaka%20residents%20panicked,-Asaduzzaman&text=Hafez%20Kamrul%20Hasan%20was%20walking,by%20stabbing%20on%20his%20abdomen."
46,Robbery,2025,Male,Gulshan,"Barun Barman Market, Gulshan 2",23.7938456,90.4151804,"(23.793845603731334, 90.41518039722489)",Night,https://www.dhakatribune.com/bangladesh/dhaka/371525/robbery-of-one-crore-taka-after-attack-on-money
47,Assault,2025,Male,Hatirjheel,"Morol Goli, Hatirjheel",23.75839041,90.40931928,"(23.758390408740137, 90.40931928475796)",Night,https://www.dhakatribune.com/bangladesh/dhaka/379132/jubo-dal-leader-shot-in-hatirjheel-critically
48,Attempted Robbery,2024,Both,Gulshan,"Finance Square, Gulshan-2",23.79263108,90.41900452,"(23.792631076549036, 90.41900451779098)",Night,https://www.thedailystar.net/news/bangladesh/crime-justice/news/ten-arrested-over-attempted-robbery-gulshan-3696521
49,Murder,2025,Male,Gulshan,"Police Plaza, Gulshan",23.77261406,90.41566827,"(23.77261405693188, 90.4156682745992)",Night,https://www.tbsnews.net/bangladesh/crime/man-shot-dead-gulshan-1098016?utm_source=chatgpt.com
50,Vandalism,2023,"Male, Female",Banasree,"House no-32, Road no-4, D block, banasree",23.76193223,90.43238153,"(23.761932229344332, 90.43238153110919)",Morning,https://thefinancialexpress.com.bd/national/crime/death-of-house-aide-sparks-clash-vandalism-at-banasree
51,Robbery,2025,"Male, Female",Uttara,"Sector No. 10, Uttara West",23.88047721,90.3907276,"(23.88047720532373, 90.39072760462302)",Evening,https://www.dhakatribune.com/bangladesh/crime/367048/four-members-of-robber-gang-arrested-in-dhaka%E2%80%99s
52,Mugging,2024,Male,Uttara,"House Building area, Uttara",23.87449635,90.39938502,"(23.874496345409913, 90.39938501878603)",Dawn,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-stabbed-death-muggers-uttara-3720951
53,Abuse,2024,Female,Bashundhara R/A,"Road-3, Block-I, Bashundhara R/A",23.8216313,90.44050149,"(23.821631296233104, 90.44050148717989)",Night,https://www.tbsnews.net/bangladesh/13-year-old-domestic-worker-tortured-years-rescued-4-teeth-pulled-out-numerous-wounds
54,Mugging,2025,Male,Uttara,footbridge near BNS Centre in  Uttara,23.87064115,90.40029017,"(23.870641145244576, 90.40029016915211)",Night,https://www.thedailystar.net/news/bangladesh/crime-justice/news/suspected-muggers-mobs-beat-one-dead-injure-2-others-3833896
55,Rape,2025,Female,Uttara,near Joynal Market in Dakshinkhan,23.87249763,90.42278128,"(23.872497631832932, 90.42278127766068)",Noon,https://www.thedailystar.net/news/bangladesh/crime-justice/news/13-year-old-girl-gang-raped-murder-dhaka-3815176
56,Murder,2024,Female,Uttara,"Baunia area, Uttara",23.85245679,90.34834647,"(23.852456791310487, 90.34834646709805)",Dawn,https://www.thedailystar.net/news/bangladesh/crime-justice/news/mother-stabbed-dead-son-dhakas-uttara-3749151
57,Murder,2025,Male,Uttara,Diyabari area of Uttara,23.86811662,90.36637754,"(23.86811661697593, 90.36637754136946)",Noon,https://www.tbsnews.net/bangladesh/crime/missing-ha-meem-group-gm-ahsan-ullahs-body-found-dhaka-1101961
58,Murder,2022,Female,Uttara, Uttara Diyabari sector 17,23.84877253,90.37468621,"(23.848772530555383, 90.3746862091258)",,https://www.newagebd.net/article/185047/woman-tortured-to-death-dumped-at-diabari
59,Mugging,2024,Male,Purbachal,elevated expressway toll plaza,23.83708229,90.41917226,"(23.83708229204776, 90.41917226277148)",Morning,https://en.prothomalo.com/bangladesh/crime-and-law/6ryymee0xm
60,Murder,2024,Male,Baridhara,"in front of the Palestine Embassy in Dhaka, Baridhara Diplomatic zone",23.79997553,90.42188364,"(23.79997553001842, 90.42188364075395)",Night,https://www.dhakatribune.com/bangladesh/court/348884/constable-kawser-on-7-day-remand-over-baridhara
61,Theft,2022,Male,Bashundhara R/A,Dutch-Bangla Bank's Bashundara Branch,23.81230194,90.42503561,"(23.812301936856983, 90.42503560619748)",Noon,https://www.tbsnews.net/bangladesh/crime/10-arrested-attempting-steal-tk65cr-walton-directors-bank-account-363484
62,Murder,2025,Female,Dakshinkhan,Ashkona area of Dakkhinkhan,23.85358428,90.41830249,"(23.85358427778927, 90.41830248705473)",Morning,https://www.thedailystar.net/news/bangladesh/crime-justice/news/couple-2-others-murdered-city-3905501
63,Rape,2025,Female,Uttara ,near Taheria Walia Model Madrasah in the Ashkona area of ​​Dakshinkhan,23.84705372,90.42197852,"(23.847053716082247, 90.421978522690370",,https://www.tbsnews.net/bangladesh/crime/madrasah-teacher-detained-over-rape-12-year-old-student-dhaka-1092591
64,Mugging,2024,Male,Nikunja,flyover near Nikunja-1,23.82156348,90.41866722,"(23.82156347619714, 90.41866722080576)",Morning,https://www.thedailystar.net/news/bangladesh/crime-justice/news/youth-stabbed-death-mugger-dhaka-3711521
65,Abduction,2023,Male,Banasree,"T & T tower, Kazibari , Banasree",23.75470449,23.75470449,"(23.754704487924386, 90.44427398938257)",Morning,https://www.tbsnews.net/bangladesh/crime/anti-terrorism-unit-rescues-abducted-victim-south-banasree-5-held-714102
66,Murder,2022,Male,Badda,"Road no-13, DIT project,Merul Badda",23.77343555,90.42078491,"(23.773435553331726, 90.42078490898439)",Night,https://www.tbsnews.net/bangladesh/crime/hsc-examinee-killed-merciless-knife-attack-dhakas-merul-badda-545386
67,Assault,2025,"Male, Female",Banasree,"Road no- 3, Banasree -E block",23.76189344,90.43455784,"(23.76189343665085, 90.43455783968065)",Night,https://en.prothomalo.com/bangladesh/h3f9jyl4q2
68,Robbery,2025,"Male, Female",Gulshan,"Road no- 81, Gulshan",23.80124094,90.41443084,"(23.801240937273892, 90.41443084232789)",Night,https://thefinancialexpress.com.bd/national/crime/ex-caretakers-claims-of-hidden-wealth-sparked-mob-break-in-at-gulshan-home
69,Mugging,2025,Male,Gulshan,"Near Gulshan 1 Lake,Gulshan",23.78367631,90.42028803,"(23.783676306050086, 90.42028803491962)",Afternoon,https://www.tbsnews.net/bangladesh/crime/businessman-shot-gulshan-after-reportedly-refusing-pay-extortion-1141401
70,Rape,2025,Female,Khilket,Mannan Plaza of Khilkhet Bazar,23.8292651,90.42099804,"(23.82926509565932, 90.42099804266444)",Evening,https://bdnews24.com/bangladesh/8b896aa73286
71,Abduction,2025,Female,Uttara,House 37 on Road 10/B in Uttara-Sector 11,23.87857386,90.39125835,"(23.878573863203947, 90.3912583454404)",Evening,https://www.thedailystar.net/news/bangladesh/crime-justice/news/abduction-victim-rescued-5-arrested-uttara-3907546
72,Abduction,2024,Female,Nikunja,Road 9/B in Nikunja-1,23.82574627,90.41899592,"(23.82574626642413, 90.41899592040089)",,https://asianews.network/2-chinese-men-held-for-human-trafficking/
73,Extortion,2025,Female,Baridhara,Block-J on Road-20 in Baridhara Residential area,23.80069635,90.42472695,"(23.800696351540132, 90.42472694633685)",Noon,https://www.daily-sun.com/printversion/details/313905
74,Abuse,2022,Male,Bashundhara R/A,restaurant in Bashundhara R/A,23.81256485,90.42473749,"(23.812564854474136, 90.42473749070489)",Afternoon,https://businesspostbd.com/national/crime/transgender-beauty-vlogger-held-captive-tortured-in-dhaka
75,Murder,2025,Female,Dakshinkhan,Chalabon area's Chaity intersection,23.86889728,90.41761766,"(23.868897275703663, 90.41761766171136)",Dawn,https://www.thedailystar.net/news/bangladesh/crime-justice/news/woman-killed-husband-dhakas-dakkhinkhan-3905066
76,Assault,2025,,Gulshan,"Near Gloria Jeans, Gulshan",23.78181043,90.41627883,"(23.78181042503882, 90.41627882661118",Night,https://www.dhakatribune.com/bangladesh/dhaka/302789/two-shot-at-gulshan%E2%80%99s-gloria-jean-s-premises
77,Murder,2024,Male,Gulshan,"Road no 108, Gulshan",23.79075524,90.41872205,"(23.79075523599309, 90.41872205317337)",Morning,https://www.thedailystar.net/news/news/double-murder-no-arrests-after-3-days-3715676
78,Murder,2024,Male,Rampura,"Rampura Bridge, Rampura",23.76828886,90.42322875,"(23.768288855751983, 90.42322875317267)",Night,https://www.tbsnews.net/bangladesh/man-stabbed-dead-muggers-rampura-979666
79,Murder,2024,Male,Hatirjheel,"Mahanagar Project, Hatirjheel",23.76675345,90.41464416,"(23.766753450938275, 90.41464415767214)",Morning,https://www.thedailystar.net/news/bangladesh/crime-justice/news/landowners-son-killed-over-dispute-developer-3724541
